character,animationState,fileName,tilesetTileWidth,tilesetTileHeight,numAnimationFrames,originX,originY,defaultAnimationStepsPerSecond
0,0,archer_attack.png,96,96,13,48,80,8.0
0,1,archer_die.png,128,128,13,64,95,18.0
0,2,archer_hit.png,96,96,9,48,80,8.0
0,3,archer_run.png,96,96,8,48,80,8.0
0,5,archer_stop.png,96,96,1,48,80,8.0
0,6,archer_walk.png,96,96,8,48,80,8.0
1,0,bat_attack.png,128,128,10,64,95,8.0
1,1,bat_die.png,128,128,13,64,95,22.0
1,2,bat_hit.png,128,128,8,64,95,8.0
1,5,bat_stop.png,128,128,12,64,95,8.0
1,6,bat_walk.png,128,128,12,64,95,8.0
2,0,dino_attack.png,128,128,13,64,95,8.0
2,1,dino_die.png,128,128,11,64,95,16.0
2,2,dino_hit.png,128,128,9,64,95,8.0
2,3,dino_run.png,128,128,8,64,95,8.0
2,5,dino_stop.png,128,128,1,64,95,8.0
2,6,dino_walk.png,128,128,8,64,95,8.0
3,0,ghost_attack.png,96,96,13,48,80,8.0
3,1,ghost_die.png,96,96,9,48,80,12.0
3,2,ghost_hit.png,96,96,9,48,80,8.0
3,5,ghost_stop.png,96,96,8,48,80,8.0
3,6,ghost_walk.png,96,96,8,48,80,8.0
4,0,gnome_attack.png,96,96,10,48,80,6.5
4,1,gnome_die.png,96,96,9,48,80,16.0
4,2,gnome_hit.png,96,96,7,48,80,6.5
4,3,gnome_run.png,96,96,9,48,80,9.0
4,5,gnome_stop.png,96,96,1,48,80,8.0
4,6,gnome_walk.png,96,96,9,48,80,8.0
5,0,knight_attack.png,128,128,12,64,95,8.0
5,1,knight_die.png,128,128,13,64,95,16.0
5,2,knight_hit.png,128,128,12,64,95,10.0
5,3,knight_run.png,128,128,12,64,95,10.0
5,5,knight_stop.png,96,96,1,48,80,8.0
5,6,knight_walk.png,96,96,12,48,79,8.0
6,0,mage_attack.png,96,96,13,48,80,8.0
6,1,mage_die.png,128,128,13,64,95,16.0
6,2,mage_hit.png,96,96,9,48,80,8.0
6,3,mage_run.png,96,96,8,48,80,8.0
6,4,mage_spell.png,96,96,13,48,80,8.0
6,5,mage_stop.png,96,96,1,48,80,8.0
6,6,mage_walk.png,96,96,8,48,80,8.0
7,0,monk_attack.png,96,96,13,48,80,8.0
7,1,monk_die.png,96,96,9,48,80,14.0
